# Table created by editing the following input table: output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv
# Used command:  dependencies/edit_table_basic.py -v -i output/ASV_taxonomic_assignments/ASV_tax_assignments.tsv --column_names_are_in first_data_line --row_names_are_in_column ASV -o output/ASV_taxonomic_assignments/prokaryotic_ASVs.tsv --processing_order f --omit_rows_by_data 'taxonomy:*\;Chloroplast*,*\;Mitochondria*,Unassigned' --include_comments_in_output --save_output_row_names_under_column ASV --save_output_column_names_in last_comment_line
# Generated on: 2025.12.23 10:10:00
#
# ASV	taxonomy
ASV.10118	Bacteria;Bacillota;Clostridia;Oscillospirales;UCG-010;Incertae Sedis;uncultured bacterium
ASV.10119	Bacteria;Bacillota;Bacilli;RF39;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.1012	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Incertae Sedis
ASV.10120	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group
ASV.10121	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium
ASV.10122	Bacteria;Bacillota;Clostridia;Clostridia UCG-014;Incertae Sedis;Incertae Sedis
ASV.10123	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Incertae Sedis;uncultured bacterium
ASV.10124	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter
ASV.10125	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp. RS-1
ASV.10126	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus;Roseiflexus sp. RS-1
ASV.10127	Bacteria;Bacteroidota;Bacteroidia;SM1A07;Incertae Sedis;Incertae Sedis
ASV.10128	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;uncultured bacterium
ASV.10129	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;Porphyrobacter sp.
ASV.1013	Bacteria;Bacillota;Clostridia;Clostridia vadinBB60 group;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10130	Bacteria;Aquificota;Aquificia;Aquificales;Aquificaceae;Thermocrinis;uncultured bacterium
ASV.10131	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus Chlorothrix;uncultured Chloroflexi bacterium
ASV.10132	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;A4b;Incertae Sedis;uncultured bacterium
ASV.10133	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Raineyaceae;Raineya
ASV.10134	Bacteria;SAR324 clade(Marine group B);Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Nitrosoarchaeum
ASV.10135	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28 wastewater-sludge group;uncultured bacterium
ASV.10136	Bacteria;Verrucomicrobiota;Kiritimatiellia;WCHB1-41;Incertae Sedis;Incertae Sedis
ASV.10137	Bacteria
ASV.10138	Bacteria;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Incertae Sedis
ASV.10139	Bacteria;Cyanobacteriota;Cyanobacteriia;Pseudanabaenales;Pseudanabaenaceae;Incertae Sedis;uncultured bacterium
ASV.1014	Bacteria;Chloroflexota;Anaerolineae;Aggregatilineales;Aggregatilineaceae;Incertae Sedis;uncultured bacterium
ASV.10140	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Incertae Sedis;Incertae Sedis
ASV.10141	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28 wastewater-sludge group;uncultured bacterium
ASV.10142	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp. MS-G
ASV.10143	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae
ASV.10144	Bacteria;Cyanobacteriota;Cyanobacteriia
ASV.10145	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales
ASV.10146	Bacteria;Candidatus Kapabacteria;Kapabacteria;Kapabacteriales;Incertae Sedis;Incertae Sedis;uncultured bacterium
ASV.10147	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae
ASV.10148	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus sp. MS-G
ASV.10149	Bacteria;Candidatus Kapabacteria;Kapabacteria;Kapabacteriales;Incertae Sedis;Incertae Sedis;uncultured bacterium
