sample_type	Trait	FAPROTAX v1	FAPROTAX2-mapper
Hypersaline lagoon sediment	reductive_acetogenesis		45
Hypersaline lagoon sediment	sulfite_respiration		734
Hypersaline lagoon sediment	thiosulfate_respiration		674
Hypersaline lagoon sediment	xylanolysis		851
Mammal feces	aerobic_chemoheterotrophy	354	981
Mammal feces	aliphatic_non_methane_hydrocarbon_degradation	8	11
Mammal feces	animal_parasites_or_symbionts	49	1602
Mammal feces	aromatic_hydrocarbon_degradation	8	118
Mammal feces	cellulolysis	1	127
Mammal feces	chemoheterotrophy	782	2997
Mammal feces	chitinolysis	1	57
Mammal feces	dark_hydrogen_oxidation	11	285
Mammal feces	fermentation	437	2049
Mammal feces	human_associated	35	1116
Mammal feces	human_gut	8	1634
Mammal feces	human_pathogens_all	27	39
Mammal feces	human_pathogens_pneumonia	1	
Mammal feces	hydrocarbon_degradation	8	23
Mammal feces	hydrogenotrophic_methanogenesis	2	2
Mammal feces	intracellular_parasites	1	7
Mammal feces	invertebrate_parasites	1	4
Mammal feces	mammal_gut	8	1709
Mammal feces	methanogenesis	2	2
Mammal feces	methanogenesis_by_CO2_reduction_with_H2	2	3
Mammal feces	nitrate_reduction	6	347
Mammal feces	nitrate_respiration	1	145
Mammal feces	nitrogen_respiration	1	55
Mammal feces	photoheterotrophy	14	57
Mammal feces	phototrophy	14	198
Mammal feces	respiration_of_sulfur_compounds	6	524
Mammal feces	sulfate_respiration	6	49
Mammal feces	ureolysis	17	181
Mammal feces	xylanolysis	6	1765
Mammal feces	aerobic_anoxygenic_phototrophy		33
Mammal feces	anoxygenic_photoautotrophy		37
Mammal feces	anoxygenic_photoautotrophy_S_oxidizing		12
Mammal feces	chlorate_reducers		9
Mammal feces	dark_iron_oxidation		1
Mammal feces	dark_sulfide_oxidation		7
Mammal feces	dark_sulfur_oxidation		16
Mammal feces	dark_thiosulfate_oxidation		3
Mammal feces	methanol_oxidation		179
Mammal feces	methylotrophy		62
Mammal feces	nitrite_respiration		158
Mammal feces	nitrogen_fixation		98
Mammal feces	photoautotrophy		31
Mammal feces	plant_pathogen		23
Mammal feces	reductive_acetogenesis		18
Mammal feces	sulfite_respiration		375
Mammal feces	sulfur_respiration		330
Mammal feces	thiosulfate_respiration		279
Marine water and sediment	aerobic_ammonia_oxidation	31	83
Marine water and sediment	aerobic_chemoheterotrophy	403	4091
Marine water and sediment	aerobic_nitrite_oxidation	3	48
Marine water and sediment	animal_parasites_or_symbionts	4	195
Marine water and sediment	cellulolysis	2	311
Marine water and sediment	chemoheterotrophy	846	4009
Marine water and sediment	dark_hydrogen_oxidation	29	1775
Marine water and sediment	dark_iron_oxidation	7	8
Marine water and sediment	dark_oxidation_of_sulfur_compounds	21	35
Marine water and sediment	dark_sulfide_oxidation	21	249
Marine water and sediment	fermentation	50	998
Marine water and sediment	human_associated	1	33
Marine water and sediment	human_pathogens_all	1	16
Marine water and sediment	hydrocarbon_degradation	2	11
Marine water and sediment	hydrogenotrophic_methanogenesis	3	
Marine water and sediment	intracellular_parasites	12	106
Marine water and sediment	iron_respiration	1	1
Marine water and sediment	methanogenesis	3	3
Marine water and sediment	methanogenesis_by_CO2_reduction_with_H2	2	203
Marine water and sediment	methanogenesis_by_disproportionation_of_methyl_groups	1	1
Marine water and sediment	methanogenesis_by_reduction_of_methyl_compounds_with_H2	1	
Marine water and sediment	methanol_oxidation	32	628
Marine water and sediment	methanotrophy	2	7
Marine water and sediment	methylotrophy	35	159
Marine water and sediment	nitrate_reduction	53	2573
Marine water and sediment	nitrate_respiration	37	466
Marine water and sediment	nitrification	34	131
Marine water and sediment	nitrite_respiration	1	536
Marine water and sediment	nitrogen_respiration	37	238
Marine water and sediment	oxygenic_photoautotrophy	14	14
Marine water and sediment	photoautotrophy	14	140
Marine water and sediment	photoheterotrophy	16	348
Marine water and sediment	phototrophy	30	509
Marine water and sediment	respiration_of_sulfur_compounds	87	1146
Marine water and sediment	sulfate_respiration	87	161
Marine water and sediment	sulfite_respiration	4	1326
Marine water and sediment	sulfur_respiration	3	1358
Marine water and sediment	thiosulfate_respiration	3	1156
Marine water and sediment	ureolysis	12	373
Marine water and sediment	xylanolysis	1	1063
Marine water and sediment	acetoclastic_methanogenesis		1
Marine water and sediment	aerobic_anoxygenic_phototrophy		110
Marine water and sediment	aliphatic_non_methane_hydrocarbon_degradation		12
Marine water and sediment	anoxygenic_photoautotrophy		159
Marine water and sediment	anoxygenic_photoautotrophy_S_oxidizing		709
Marine water and sediment	aromatic_hydrocarbon_degradation		108
Marine water and sediment	chitinolysis		23
Marine water and sediment	chlorate_reducers		69
Marine water and sediment	dark_sulfur_oxidation		744
Marine water and sediment	dark_thiosulfate_oxidation		179
Marine water and sediment	human_gut		12
Marine water and sediment	human_pathogens_pneumonia		4
Marine water and sediment	invertebrate_parasites		1
Marine water and sediment	mammal_gut		62
Marine water and sediment	nitrogen_fixation		263
Marine water and sediment	plant_pathogen		36
Marine water and sediment	reductive_acetogenesis		2
Mud	acetoclastic_methanogenesis	3	6
Mud	aerobic_chemoheterotrophy	216	2451
Mud	aerobic_nitrite_oxidation	10	86
Mud	animal_parasites_or_symbionts	3	384
Mud	cellulolysis	8	297
Mud	chemoheterotrophy	755	4630
Mud	chitinolysis	1	90
Mud	chlorate_reducers	6	43
Mud	dark_hydrogen_oxidation	20	2257
Mud	dark_iron_oxidation	26	31
Mud	dark_oxidation_of_sulfur_compounds	1	47
Mud	dark_sulfide_oxidation	1	95
Mud	dark_sulfur_oxidation	1	260
Mud	dark_thiosulfate_oxidation	1	81
Mud	fermentation	287	1640
Mud	human_associated	2	222
Mud	human_pathogens_all	2	41
Mud	human_pathogens_pneumonia	1	7
Mud	hydrocarbon_degradation	21	26
Mud	hydrogenotrophic_methanogenesis	33	19
Mud	intracellular_parasites	16	47
Mud	invertebrate_parasites	1	6
Mud	iron_respiration	9	1
Mud	methanogenesis	36	39
Mud	methanogenesis_by_CO2_reduction_with_H2	24	719
Mud	methanogenesis_by_disproportionation_of_methyl_groups	2	2
Mud	methanogenesis_by_reduction_of_methyl_compounds_with_H2	9	1
Mud	methanol_oxidation	24	543
Mud	methanotrophy	20	14
Mud	methylotrophy	53	254
Mud	nitrate_reduction	24	1884
Mud	nitrate_respiration	13	578
Mud	nitrification	10	647
Mud	nitrogen_fixation	3	484
Mud	nitrogen_respiration	13	378
Mud	photoheterotrophy	19	462
Mud	phototrophy	19	760
Mud	reductive_acetogenesis	4	94
Mud	respiration_of_sulfur_compounds	297	1638
Mud	sulfate_respiration	297	551
Mud	sulfite_respiration	2	1487
Mud	ureolysis	9	899
Mud	xylanolysis	1	2137
Mud	aerobic_ammonia_oxidation		561
Mud	aerobic_anoxygenic_phototrophy		95
Mud	aliphatic_non_methane_hydrocarbon_degradation		4
Mud	anoxygenic_photoautotrophy		316
Mud	anoxygenic_photoautotrophy_S_oxidizing		296
Mud	aromatic_hydrocarbon_degradation		89
Mud	human_gut		207
Mud	mammal_gut		243
Mud	nitrite_respiration		707
Mud	photoautotrophy		181
Mud	plant_pathogen		27
Mud	sulfur_respiration		1393
Mud	thiosulfate_respiration		1297
Surface soil	aerobic_ammonia_oxidation	25	35
Surface soil	aerobic_chemoheterotrophy	1158	8367
Surface soil	aliphatic_non_methane_hydrocarbon_degradation	3	9
Surface soil	animal_parasites_or_symbionts	30	217
Surface soil	aromatic_hydrocarbon_degradation	3	165
Surface soil	cellulolysis	21	541
Surface soil	chemoheterotrophy	1926	9630
Surface soil	chitinolysis	1	79
Surface soil	chlorate_reducers	5	136
Surface soil	dark_hydrogen_oxidation	5	1543
Surface soil	dark_iron_oxidation	1	14
Surface soil	fermentation	128	1421
Surface soil	fumarate_respiration	1	
Surface soil	human_associated	29	226
Surface soil	human_gut	1	177
Surface soil	human_pathogens_all	28	51
Surface soil	human_pathogens_pneumonia	1	15
Surface soil	hydrocarbon_degradation	21	18
Surface soil	hydrogenotrophic_methanogenesis	4	2
Surface soil	intracellular_parasites	21	35
Surface soil	invertebrate_parasites	1	2
Surface soil	iron_respiration	5	
Surface soil	mammal_gut	1	186
Surface soil	methanogenesis	4	5
Surface soil	methanogenesis_by_CO2_reduction_with_H2	4	51
Surface soil	methanogenesis_by_disproportionation_of_methyl_groups	1	1
Surface soil	methanol_oxidation	14	1337
Surface soil	methanotrophy	18	14
Surface soil	methylotrophy	32	609
Surface soil	nitrate_reduction	50	3031
Surface soil	nitrate_respiration	22	867
Surface soil	nitrification	25	81
Surface soil	nitrogen_fixation	8	1047
Surface soil	nitrogen_respiration	22	642
Surface soil	oxygenic_photoautotrophy	3	4
Surface soil	photoautotrophy	3	436
Surface soil	photoheterotrophy	28	1175
Surface soil	phototrophy	31	1542
Surface soil	plant_pathogen	1	113
Surface soil	reductive_acetogenesis	1	21
Surface soil	respiration_of_sulfur_compounds	49	1600
Surface soil	sulfate_respiration	49	174
Surface soil	sulfite_respiration	3	1352
Surface soil	sulfur_respiration	1	1525
Surface soil	ureolysis	115	1453
Surface soil	xylanolysis	2	2956
Surface soil	acetoclastic_methanogenesis		1
Surface soil	aerobic_anoxygenic_phototrophy		367
Surface soil	aerobic_nitrite_oxidation		46
Surface soil	anoxygenic_photoautotrophy		657
Surface soil	anoxygenic_photoautotrophy_S_oxidizing		602
Surface soil	dark_oxidation_of_sulfur_compounds		44
Surface soil	dark_sulfide_oxidation		142
Surface soil	dark_sulfur_oxidation		422
Surface soil	dark_thiosulfate_oxidation		146
Surface soil	methanogenesis_by_reduction_of_methyl_compounds_with_H2		1
Surface soil	nitrite_respiration		1010
Surface soil	thiosulfate_respiration		1332
