accession	species	domain	phylum	class	order	family	genus	taxonomy	methanotrophy.value	methanogenesis.value	methanogenesis_by_disproportionation_of_methyl_groups.value	acetoclastic_methanogenesis.value	methanogenesis_using_formate.value	methanogenesis_by_CO2_reduction_with_H2.value	methanogenesis_by_reduction_of_methyl_compounds_with_H2.value	hydrogenotrophic_methanogenesis.value	methanol_oxidation.value	methylotrophy.value	aerobic_ammonia_oxidation.value	aerobic_nitrite_oxidation.value	nitrification.value	sulfate_respiration.value	sulfur_respiration.value	dark_sulfite_oxidation.value	sulfite_respiration.value	thiosulfate_respiration.value	respiration_of_sulfur_compounds.value	arsenate_detoxification.value	arsenate_respiration.value	dissimilatory_arsenate_reduction.value	arsenite_oxidation_detoxification.value	arsenite_oxidation_energy_yielding.value	dissimilatory_arsenite_oxidation.value	anammox.value	nitrate_denitrification.value	nitrite_denitrification.value	nitrous_oxide_denitrification.value	chitinolysis.value	knallgas_bacteria.value	dark_hydrogen_oxidation.value	nitrogen_fixation.value	nitrate_ammonification.value	nitrite_ammonification.value	nitrite_respiration.value	gelatin_degradation.value	cellulolysis.value	xylanolysis.value	dark_sulfide_oxidation.value	dark_sulfur_oxidation.value	dark_thiosulfate_oxidation.value	dark_oxidation_of_sulfur_compounds.value	manganese_oxidation.value	manganese_respiration.value	ligninolysis.value	fermentation.value	lactic_acid_fermentation.value	alcohol_fermentation.value	aerobic_chemoheterotrophy.value	invertebrate_parasites.value	human_pathogens_septicemia.value	human_pathogens_pneumonia.value	human_pathogens_nosocomia.value	human_pathogens_meningitis.value	human_pathogens_gastroenteritis.value	human_pathogens_diarrhea.value	human_pathogens_all.value	fish_parasites.value	human_gut.value	human_associated.value	mammal_gut.value	animal_parasites_or_symbionts.value	plant_pathogen.value	oil_bioremediation.value	aromatic_hydrocarbon_degradation.value	aromatic_compound_degradation.value	aliphatic_non_methane_hydrocarbon_degradation.value	hydrocarbon_degradation.value	dark_iron_oxidation.value	iron_oxidation.value	iron_respiration.value	nitrate_respiration.value	nitrate_reduction.value	nitrogen_respiration.value	fumarate_respiration.value	intracellular_parasites.value	chlorate_reducers.value	predatory_or_exoparasitic.value	anoxygenic_photoautotrophy_H2_oxidizing.value	anoxygenic_photoautotrophy_S_oxidizing.value	anoxygenic_photoautotrophy_Fe_oxidizing.value	anoxygenic_photoautotrophy.value	oxygenic_photoautotrophy.value	photoautotrophy.value	aerobic_anoxygenic_phototrophy.value	photoheterotrophy.value	phototrophy.value	plastic_degradation.value	ureolysis.value	reductive_acetogenesis.value	acetate_oxidation.value	lactate_oxidation.value	chemoheterotrophy.value	alginate_degradation.value	pectin_degradation.value	collagen_degradation.value	anaerobic_chemoheterotrophy.value	obligate_anaerobes.value	facultative_anaerobes.value	sulfur_reduction.value
JN650279.1.1476	Paenibacillus_lactis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus lactis	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
X60619.7.1431	Paenibacillus_larvae	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus larvae	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
KU534087.1.1475	Paenibacillus_lautus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus lautus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	A	P	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
AB073199.1.1512	Paenibacillus_lentimorbus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus lentimorbus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	P	A	P	U
FJ040809.1.1417	Paenibacillus_macerans	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus macerans	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	P	U	U	U	U	U	U	U	A	U	P	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	P	A	A	U	U	U	U	U	U	U	A	U	U	U	U	P	P	A	U	U	P	U	U	U	A	A	A	A
X57305.1.1497	Paenibacillus_macquariensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus macquariensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	P	A	P	U
AY323608.1.1502	Paenibacillus_massiliensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus massiliensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AF537343.1.1543	Paenibacillus_mendelii	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus mendelii	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
KF030761.1.1520	Paenibacillus_motobuensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus motobuensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
CP013652.4472658.4474195	Paenibacillus_naphthalenovorans	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus naphthalenovorans	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AF480935.1.1532	Paenibacillus_nematophilus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus nematophilus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AJ223990.1.1438	Paenibacillus_odorifer	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus odorifer	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
KY753257.1.1453	Paenibacillus_pabuli	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus pabuli	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
KX827243.1.1423	Paenibacillus_panacisoli	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus panacisoli	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AB697160.1.1480	Paenibacillus_pasadenensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus pasadenensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AJ320494.1.1501	Paenibacillus_peoriae	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus peoriae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
MF800924.1.1412	Paenibacillus_phyllosphaerae	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus phyllosphaerae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
JN570759.1.1458	Paenibacillus_polymyxa	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus polymyxa	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
X60633.7.1427	Paenibacillus_popilliae	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Paenibacillus popilliae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AY751754.1.1547	Paenibacillus_rhizosphaerae	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus rhizosphaerae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
AY323609.1.1475	Paenibacillus_sanguinis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sanguinis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	""	P	U
KC854870.1.1478	Paenibacillus_sepulcri	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sepulcri	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	U
AJ316013.1.1519	Paenibacillus_stellifer	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus stellifer	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	P	U
AJ318910.1.1461	Paenibacillus_terrae	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus terrae	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	U
AJ320490.1.1509	Paenibacillus_thiaminolyticus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus thiaminolyticus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
JN650285.1.1475	Paenibacillus_timonensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus timonensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	P	A	P	U
JN378529.1.1512	Paenibacillus_turicensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus turicensis	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	U
DQ836314.1.1396	Paenibacillus_validus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus validus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	U	P	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	U	U	U	U	A	U	U
AJ633647.1.1526	Paenibacillus_wynnii	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus wynnii	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	P	A	P	A
AY839868.1.1521	Paenibacillus_xinjiangensis	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus xinjiangensis	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	A	U	U	U	U	A	A	A	A	U	U	U	U	A	A	A	U	U	U	U	U	U	U	U	A	U	A	A	A	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	A	A	U	U	P	U	U	U	A	A	A	U
AM237393.1.1462	Paenibacillus_xylanilyticus	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus xylanilyticus	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	U	U	A	U	U
GQ911566.1.1469	Paludibacter_jiangxiensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter jiangxiensis	U	A	A	A	A	A	A	A	A	U	A	A	A	A	A	U	A	A	A	U	U	U	U	U	U	U	A	U	U	U	A	U	U	U	U	U	P	A	A	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	U	A	U	U	U	U	U	U	U	A	U	A	U	U	U	U	U	A	A	P	U	P	U	P	P	A	A
AB078842.1.1447	Paludibacter_propionicigenes	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter propionicigenes	U	A	A	A	A	A	A	A	U	U	A	A	A	A	A	U	A	A	A	U	U	U	U	U	U	U	A	U	U	U	A	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	P	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	A	U	U	U	U	U	U	U	A	U	A	U	U	U	A	U	U	A	P	U	U	U	P	P	A	A
AY268172.1.1461	Pandoraea_apista	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea;Pandoraea apista	U	A	A	A	A	A	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	A	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	A	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	U	P	U	U	U	U	A	U	U
AJ400704.1.1475	Pannonibacter_phragmitetus	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Pannonibacter	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Pannonibacter;Pannonibacter phragmitetus	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	U	A	A	A	U	U	U	U	U	U	U	P	P	P	U	U	U	U	U	U	P	A	A	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	P	P	U	U	U	U	U	U	U	U	A	U	U	U	U	U	P	U	U	P	P	U	U	U	U	A	P	A
AB004691.1.1449	Pantoea_agglomerans	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Pantoea agglomerans	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	A	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	P	U	U	P	U	P	P	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	A
AB004758.1.1445	Pantoea_ananatis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea ananatis	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	A	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	A
JN644543.1.1527	Pantoea_dispersa	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea dispersa	U	A	A	A	A	A	A	A	U	U	U	U	U	A	A	A	U	A	A	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	P	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	P	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	U	A	U	U	U	U	U	A	U	U	U	P	U	U	U	U	A	P	A
